mes_ref,marca,modelo,unidades_painel,marca_painel_grafia,modelo_painel_grafia,nome_planilha,unidades_planilha,marca_planilha_grafia,modelo_planilha_grafia,diferenca,situacao
2014-01,,CHANGAN STAR CS,0.0,,,Changan Star CS,30.0,,Changan Star CS,-30.0,so_na_planilha
2014-01,AGRALE,AGRALE MARRUA,4.0,AGRALE,AGRALE MARRUA,,0.0,,,4.0,so_no_painel
2014-01,AGRALE,MARRUA,0.0,,,Agrale Marruá,4.0,Agrale,Marruá,-4.0,so_na_planilha
2014-01,ASTON MARTIN,V8 VANTAGE,0.0,,,Aston Martin V8 Vantage,1.0,Aston Martin,V8 Vantage,-1.0,so_na_planilha
2014-01,AUDI,A1,0.0,,,Audi A1,34.0,Audi,A1,-34.0,so_na_planilha
2014-01,AUDI,A3,0.0,,,Audi A3,373.0,Audi,A3,-373.0,so_na_planilha
2014-01,AUDI,A3 SEDAN,173.0,AUDI,A3 SEDAN,,0.0,,,173.0,so_no_painel
2014-01,AUDI,A4,16.0,AUDI,A4,Audi A4,116.0,Audi,A4,-100.0,diverge
2014-01,AUDI,A4 AVANT,1.0,AUDI,A4 AVANT,Audi A4 Avant,1.0,Audi,A4 Avant,0.0,igual
2014-01,AUDI,A5,82.0,AUDI,A5,Audi A5,82.0,Audi,A5,0.0,igual
2014-01,AUDI,A6,0.0,,,Audi A6,10.0,Audi,A6,-10.0,so_na_planilha
2014-01,AUDI,A7 SPORTBACK,0.0,,,Audi A7 Sportback,4.0,Audi,A7 Sportback,-4.0,so_na_planilha
2014-01,AUDI,Q3,248.0,AUDI,Q3,Audi Q3,246.0,Audi,Q3,2.0,diverge
2014-01,AUDI,Q5,0.0,,,Audi Q5,21.0,Audi,Q5,-21.0,so_na_planilha
2014-01,AUDI,Q7,0.0,,,Audi Q7,3.0,Audi,Q7,-3.0,so_na_planilha
2014-01,AUDI,R8,0.0,,,Audi R8,3.0,Audi,R8,-3.0,so_na_planilha
2014-01,AUDI,RS4,1.0,AUDI,RS4,,0.0,,,1.0,so_no_painel
2014-01,AUDI,RS6,5.0,AUDI,RS6,,0.0,,,5.0,so_no_painel
2014-01,AUDI,TT COUPE,0.0,,,Audi TT Coupé,5.0,Audi,TT Coupé,-5.0,so_na_planilha
2014-01,BMW,316I,136.0,BMW,316I,,0.0,,,136.0,so_no_painel
2014-01,BMW,320,524.0,BMW,320,,0.0,,,524.0,so_no_painel
2014-01,BMW,328,94.0,BMW,328,,0.0,,,94.0,so_no_painel
2014-01,BMW,M6,6.0,BMW,M6,,0.0,,,6.0,so_no_painel
2014-01,BMW,SERIE 1,0.0,,,BMW Série 1,146.0,BMW,Série 1,-146.0,so_na_planilha
2014-01,BMW,SERIE 3,0.0,,,BMW Série 3,763.0,BMW,Série 3,-763.0,so_na_planilha
2014-01,BMW,SERIE 5,0.0,,,BMW Série 5,4.0,BMW,Série 5,-4.0,so_na_planilha
2014-01,BMW,SERIE 6 GRAN COUPE,0.0,,,BMW Série 6 Gran Coupé,5.0,BMW,Série 6 Gran Coupé,-5.0,so_na_planilha
2014-01,BMW,SERIE 7,0.0,,,BMW Série 7,1.0,BMW,Série 7,-1.0,so_na_planilha
2014-01,BMW,X1,207.0,BMW,X1,BMW X1,205.0,BMW,X1,2.0,diverge
2014-01,BMW,X3,87.0,BMW,X3,BMW X3,85.0,BMW,X3,2.0,diverge
2014-01,BMW,X5,0.0,,,BMW X5,22.0,BMW,X5,-22.0,so_na_planilha
2014-01,BMW,X6,0.0,,,BMW X6,35.0,BMW,X6,-35.0,so_na_planilha
2014-01,BMW,Z4,42.0,BMW,Z4,BMW Z4,41.0,BMW,Z4,1.0,diverge
2014-01,CAOA CHERY,CELER,0.0,,,CAOA Chery Celer,200.0,CAOA Chery,Celer,-200.0,so_na_planilha
2014-01,CAOA CHERY,CELER SEDAN,0.0,,,CAOA Chery Celer Sedan,154.0,CAOA Chery,Celer Sedan,-154.0,so_na_planilha
2014-01,CAOA CHERY,CIELO HATCH,0.0,,,CAOA Chery Cielo hatch,2.0,CAOA Chery,Cielo hatch,-2.0,so_na_planilha
2014-01,CAOA CHERY,CIELO SEDAN,0.0,,,CAOA Chery Cielo Sedan,3.0,CAOA Chery,Cielo Sedan,-3.0,so_na_planilha
2014-01,CAOA CHERY,FACE,0.0,,,CAOA Chery Face,102.0,CAOA Chery,Face,-102.0,so_na_planilha
2014-01,CAOA CHERY,QQ,0.0,,,CAOA Chery QQ,307.0,CAOA Chery,QQ,-307.0,so_na_planilha
2014-01,CAOA CHERY,S 18,0.0,,,CAOA Chery S-18,3.0,CAOA Chery,S-18,-3.0,so_na_planilha
2014-01,CAOA CHERY,TIGGO,0.0,,,CAOA Chery Tiggo,184.0,CAOA Chery,Tiggo,-184.0,so_na_planilha
2014-01,CHANA,SC,30.0,CHANA,SC,,0.0,,,30.0,so_no_painel
2014-01,CHERY,CELER SEDAN,75.0,CHERY,CELER SEDAN,,0.0,,,75.0,so_no_painel
2014-01,CHERY,TIGGO,184.0,CHERY,TIGGO,,0.0,,,184.0,so_no_painel
2014-01,CHRYSLER,300,0.0,,,Chrysler 300,19.0,Chrysler,300,-19.0,so_na_planilha
2014-01,CHRYSLER,300C,19.0,CHRYSLER,300C,,0.0,,,19.0,so_no_painel
2014-01,CHRYSLER,TOWN COUNTRY,0.0,,,Chrysler Town & Country,14.0,Chrysler,Town & Country,-14.0,so_na_planilha
2014-01,CITROEN,AIRCROSS,0.0,,,Citroën Aircross,766.0,CITROEN,Aircross,-766.0,so_na_planilha
2014-01,CITROEN,C3,2991.0,CITROEN,C3,Citroën C3,2991.0,CITROEN,C3,0.0,igual
2014-01,CITROEN,C3 AIRCROSS,766.0,CITROEN,C3 AIRCROSS,,0.0,,,766.0,so_no_painel
2014-01,CITROEN,C3 PICASSO,472.0,CITROEN,C3 PICASSO,Citroën C3 Picasso,472.0,CITROEN,C3 Picasso,0.0,igual
2014-01,CITROEN,C4 HATCH,0.0,,,Citroën C4 Hatch,502.0,CITROEN,C4 Hatch,-502.0,so_na_planilha
2014-01,CITROEN,C4 LOUNGE,0.0,,,Citroën C4 Lounge,835.0,CITROEN,C4 Lounge,-835.0,so_na_planilha
2014-01,CITROEN,C4 PALLAS,13.0,CITROEN,C4 PALLAS,Citroën C4 Pallas,13.0,CITROEN,C4 Pallas,0.0,igual
2014-01,CITROEN,C4 PICASSO,216.0,CITROEN,C4 PICASSO,Citroën C4 Picasso,200.0,CITROEN,C4 Picasso,16.0,diverge
2014-01,CITROEN,C4L,835.0,CITROEN,C4L,,0.0,,,835.0,so_no_painel
2014-01,CITROEN,DS 3,0.0,,,Citroën DS 3,74.0,CITROEN,DS 3,-74.0,so_na_planilha
2014-01,CITROEN,DS 4,0.0,,,Citroën DS 4,38.0,CITROEN,DS 4,-38.0,so_na_planilha
2014-01,CITROEN,DS 5,0.0,,,Citroën DS 5,45.0,CITROEN,DS 5,-45.0,so_na_planilha
2014-01,CITROEN,DS5,45.0,CITROEN,DS5,,0.0,,,45.0,so_no_painel
2014-01,CITROEN,GRAND C4 PICASSO,0.0,,,Citroën Grand C4 Picasso,16.0,CITROEN,Grand C4 Picasso,-16.0,so_na_planilha
2014-01,CITROEN,JUMPER,274.0,CITROEN,JUMPER,Citroën Jumper,274.0,CITROEN,Jumper,0.0,igual
2014-01,DODGE,DURANGO,0.0,,,Dodge Durango,25.0,Dodge,Durango,-25.0,so_na_planilha
2014-01,DODGE,JOURNEY,178.0,DODGE,JOURNEY,Dodge Journey,178.0,Dodge,Journey,0.0,igual
2014-01,DODGE,RAM,71.0,DODGE,RAM,,0.0,,,71.0,so_no_painel
2014-01,EFFA,M100,2.0,EFFA,M100,Effa M100,2.0,Effa,M100,0.0,igual
2014-01,FERRARI,458,0.0,,,Ferrari 458,1.0,Ferrari,458,-1.0,so_na_planilha
2014-01,FERRARI,CALIFORNIA,0.0,,,Ferrari California,1.0,Ferrari,California,-1.0,so_na_planilha
2014-01,FIAT,500,758.0,FIAT,500,Fiat 500,759.0,Fiat,500,-1.0,diverge
2014-01,FIAT,BRAVO,528.0,FIAT,BRAVO,Fiat Bravo,528.0,Fiat,Bravo,0.0,igual
2014-01,FIAT,DOBLO,1092.0,FIAT,DOBLO,Fiat Doblò,714.0,Fiat,Doblò,378.0,diverge
2014-01,FIAT,DOBLO CARGO,0.0,,,Fiat Doblò Cargo,381.0,Fiat,Doblò Cargo,-381.0,so_na_planilha
2014-01,FIAT,DUCATO,1229.0,FIAT,DUCATO,Fiat Ducato,1230.0,Fiat,Ducato,-1.0,diverge
2014-01,FIAT,FIORINO,1458.0,FIAT,FIORINO,Fiat Fiorino,1458.0,Fiat,Fiorino,0.0,igual
2014-01,FIAT,FREEMONT,350.0,FIAT,FREEMONT,Fiat Freemont,350.0,Fiat,Freemont,0.0,igual
2014-01,FIAT,IDEA,1901.0,FIAT,IDEA,Fiat Idea,1901.0,Fiat,Idea,0.0,igual
2014-01,FIAT,LINEA,546.0,FIAT,LINEA,Fiat Linea,546.0,Fiat,Linea,0.0,igual
2014-01,FIAT,PALIO,12278.0,FIAT,PALIO,Fiat Palio,12603.0,Fiat,Palio,-325.0,diverge
2014-01,FIAT,PALIO WEEKEND,1860.0,FIAT,PALIO WEEKEND,,0.0,,,1860.0,so_no_painel
2014-01,FIAT,PUNTO,3623.0,FIAT,PUNTO,Fiat Punto,3623.0,Fiat,Punto,0.0,igual
2014-01,FIAT,SIENA,11413.0,FIAT,SIENA,Fiat Siena,11415.0,Fiat,Siena,-2.0,diverge
2014-01,FIAT,STRADA,12367.0,FIAT,STRADA,Fiat Strada,12373.0,Fiat,Strada,-6.0,diverge
2014-01,FIAT,TECFORM,3.0,FIAT,TECFORM,,0.0,,,3.0,so_no_painel
2014-01,FIAT,UNO,13628.0,FIAT,UNO,Fiat Uno,13629.0,Fiat,Uno,-1.0,diverge
2014-01,FIAT,WEEKEND,0.0,,,Fiat Weekend,1536.0,Fiat,Weekend,-1536.0,so_na_planilha
2014-01,FORD,COURIER,1.0,FORD,COURIER,,0.0,,,1.0,so_no_painel
2014-01,FORD,ECOSPORT,5284.0,FORD,ECOSPORT,Ford EcoSport,5284.0,Ford,EcoSport,0.0,igual
2014-01,FORD,EDGE,192.0,FORD,EDGE,Ford Edge,192.0,Ford,Edge,0.0,igual
2014-01,FORD,F150,3.0,FORD,F150,,0.0,,,3.0,so_no_painel
2014-01,FORD,FIESTA,13179.0,FORD,FIESTA,Ford Fiesta,13179.0,Ford,Fiesta,0.0,igual
2014-01,FORD,FIESTA SEDAN,1293.0,FORD,FIESTA SEDAN,Ford Fiesta Sedan,2811.0,Ford,Fiesta Sedan,-1518.0,diverge
2014-01,FORD,FOCUS,1749.0,FORD,FOCUS,Ford Focus,1749.0,Ford,Focus,0.0,igual
2014-01,FORD,FOCUS FASTBACK,0.0,,,Ford Focus Fastback,501.0,Ford,Focus Fastback,-501.0,so_na_planilha
2014-01,FORD,FOCUS SEDAN,501.0,FORD,FOCUS SEDAN,,0.0,,,501.0,so_no_painel
2014-01,FORD,FUSION,1341.0,FORD,FUSION,Ford Fusion,1341.0,Ford,Fusion,0.0,igual
2014-01,FORD,KA,2193.0,FORD,KA,Ford Ka,2193.0,Ford,Ka,0.0,igual
2014-01,FORD,MUSTANG,9.0,FORD,MUSTANG,,0.0,,,9.0,so_no_painel
2014-01,FORD,NEW FIESTA,1518.0,FORD,NEW FIESTA,,0.0,,,1518.0,so_no_painel
2014-01,FORD,RANGER,1887.0,FORD,RANGER,Ford Ranger,1887.0,Ford,Ranger,0.0,igual
2014-01,FORD,TRANSIT,224.0,FORD,TRANSIT,Ford Transit,224.0,Ford,Transit,0.0,igual
2014-01,FOTON,AUMARK 1039,5.0,FOTON,AUMARK 1039,,0.0,,,5.0,so_no_painel
2014-01,GEELY,EC 7,10.0,GEELY,EC-7,,0.0,,,10.0,so_no_painel
2014-01,GEELY,EC7,0.0,,,Geely EC7,10.0,Geely,EC7,-10.0,so_na_planilha
2014-01,GM,AGILE,4684.0,GM,AGILE,Chevrolet Agile,4684.0,GM,Agile,0.0,igual
2014-01,GM,CAMARO,112.0,GM,CAMARO,Chevrolet Camaro,112.0,GM,Camaro,0.0,igual
2014-01,GM,CAPTIVA,152.0,GM,CAPTIVA,Chevrolet Captiva,152.0,GM,Captiva,0.0,igual
2014-01,GM,CELTA,5373.0,GM,CELTA,Chevrolet Celta,5374.0,GM,Celta,-1.0,diverge
2014-01,GM,CLASSIC,5293.0,GM,CLASSIC,Chevrolet Classic,5294.0,GM,Classic,-1.0,diverge
2014-01,GM,COBALT,3883.0,GM,COBALT,Chevrolet Cobalt,3884.0,GM,Cobalt,-1.0,diverge
2014-01,GM,CRUZE,0.0,,,Chevrolet Cruze,2501.0,GM,Cruze,-2501.0,so_na_planilha
2014-01,GM,CRUZE HB,2359.0,GM,CRUZE HB,,0.0,,,2359.0,so_no_painel
2014-01,GM,CRUZE SEDAN,2501.0,GM,CRUZE SEDAN,,0.0,,,2501.0,so_no_painel
2014-01,GM,CRUZE SPORT6,0.0,,,Chevrolet Cruze Sport6,2359.0,GM,Cruze Sport6,-2359.0,so_na_planilha
2014-01,GM,MALIBU,27.0,GM,MALIBU,Chevrolet Malibu,27.0,GM,Malibu,0.0,igual
2014-01,GM,MONTANA,2799.0,GM,MONTANA,Chevrolet Montana,2801.0,GM,Montana,-2.0,diverge
2014-01,GM,ONIX,9288.0,GM,ONIX,Chevrolet Onix,9290.0,GM,Onix,-2.0,diverge
2014-01,GM,PRISMA,6023.0,GM,PRISMA,Chevrolet Prisma,6023.0,GM,Prisma,0.0,igual
2014-01,GM,S10,4120.0,GM,S10,Chevrolet S10,4120.0,GM,S10,0.0,igual
2014-01,GM,SONIC,899.0,GM,SONIC,Chevrolet Sonic,899.0,GM,Sonic,0.0,igual
2014-01,GM,SONIC SEDAN,541.0,GM,SONIC SEDAN,Chevrolet Sonic Sedan,541.0,GM,Sonic Sedan,0.0,igual
2014-01,GM,SPIN,3044.0,GM,SPIN,Chevrolet Spin,3044.0,GM,Spin,0.0,igual
2014-01,GM,TRACKER,2571.0,GM,TRACKER,Chevrolet Tracker,2572.0,GM,Tracker,-1.0,diverge
2014-01,GM,TRAILBLAZER,204.0,GM,TRAILBLAZER,Chevrolet TrailBlazer,204.0,GM,TrailBlazer,0.0,igual
2014-01,HAFEI,MINI,17.0,HAFEI,MINI,,0.0,,,17.0,so_no_painel
2014-01,HAFEI,MINIVAN,32.0,HAFEI,MINIVAN,,0.0,,,32.0,so_no_painel
2014-01,HAFEI,RUIYI,33.0,HAFEI,RUIYI,,0.0,,,33.0,so_no_painel
2014-01,HAFEI,START PICK UP,5.0,HAFEI,START PICK UP,,0.0,,,5.0,so_no_painel
2014-01,HAFEI,TOWNER,31.0,HAFEI,TOWNER,,0.0,,,31.0,so_no_painel
2014-01,HAFEI,TOWNER FURGAO,0.0,,,Hafei Towner Furgão,25.0,Hafei,Towner Furgão,-25.0,so_na_planilha
2014-01,HAFEI,TOWNER PASSAGEIRO,0.0,,,Hafei Towner Passageiro,7.0,Hafei,Towner Passageiro,-7.0,so_na_planilha
2014-01,HAFEI,TOWNER PICK UP,0.0,,,Hafei Towner Pick-up,48.0,Hafei,Towner Pick-up,-48.0,so_na_planilha
2014-01,HAFEI,ZHONGYI VAN,3.0,HAFEI,ZHONGYI VAN,,0.0,,,3.0,so_no_painel
2014-01,HONDA,ACCORD,0.0,,,Honda Accord,16.0,Honda,Accord,-16.0,so_na_planilha
2014-01,HONDA,CITY,2658.0,HONDA,CITY,Honda City,2659.0,Honda,City,-1.0,diverge
2014-01,HONDA,CIVIC,3981.0,HONDA,CIVIC,Honda Civic,3983.0,Honda,Civic,-2.0,diverge
2014-01,HONDA,CR V,0.0,,,Honda CR-V,742.0,Honda,CR-V,-742.0,so_na_planilha
2014-01,HONDA,CRV,742.0,HONDA,CRV,,0.0,,,742.0,so_no_painel
2014-01,HONDA,FIT,3457.0,HONDA,FIT,Honda Fit,3457.0,Honda,Fit,0.0,igual
2014-01,HYUNDAI,AZERA,140.0,HYUNDAI,AZERA,Hyundai Azera,140.0,Hyundai,Azera,0.0,igual
2014-01,HYUNDAI,ELANTRA,381.0,HYUNDAI,ELANTRA,Hyundai Elantra,381.0,Hyundai,Elantra,0.0,igual
2014-01,HYUNDAI,EQUUS,0.0,,,Hyundai Equus,1.0,Hyundai,Equus,-1.0,so_na_planilha
2014-01,HYUNDAI,GENESIS,0.0,,,Hyundai Genesis,2.0,Hyundai,Genesis,-2.0,so_na_planilha
2014-01,HYUNDAI,HB20,9610.0,HYUNDAI,HB20,Hyundai HB20,9612.0,Hyundai,HB20,-2.0,diverge
2014-01,HYUNDAI,HB20S,3927.0,HYUNDAI,HB20S,Hyundai HB20S,3927.0,Hyundai,HB20S,0.0,igual
2014-01,HYUNDAI,HR,550.0,HYUNDAI,HR,Hyundai HR,550.0,Hyundai,HR,0.0,igual
2014-01,HYUNDAI,I30,0.0,,,Hyundai i30,448.0,Hyundai,i30,-448.0,so_na_planilha
2014-01,HYUNDAI,IX35,1052.0,HYUNDAI,IX35,Hyundai ix35,1052.0,Hyundai,ix35,0.0,igual
2014-01,HYUNDAI,SANTA FE,0.0,,,Hyundai Santa Fe,287.0,Hyundai,Santa Fe,-287.0,so_na_planilha
2014-01,HYUNDAI,SANTAFE,287.0,HYUNDAI,SANTAFE,,0.0,,,287.0,so_no_painel
2014-01,HYUNDAI,SONATA,0.0,,,Hyundai Sonata,3.0,Hyundai,Sonata,-3.0,so_na_planilha
2014-01,HYUNDAI,TUCSON,1529.0,HYUNDAI,TUCSON,Hyundai Tucson,1529.0,Hyundai,Tucson,0.0,igual
2014-01,HYUNDAI,VELOSTER,0.0,,,Hyundai Veloster,289.0,Hyundai,Veloster,-289.0,so_na_planilha
2014-01,HYUNDAI,VERACRUZ,0.0,,,Hyundai Veracruz,1.0,Hyundai,Veracruz,-1.0,so_na_planilha
2014-01,IVECO,DAILY,19.0,IVECO,DAILY,Iveco Daily,321.0,Iveco,Daily,-302.0,diverge
2014-01,IVECO,DAILY 3514,302.0,IVECO,DAILY 3514,,0.0,,,302.0,so_no_painel
2014-01,JAC,J2,0.0,,,JAC J2,370.0,JAC,J2,-370.0,so_na_planilha
2014-01,JAC,J3,0.0,,,JAC J3,259.0,JAC,J3,-259.0,so_na_planilha
2014-01,JAC,J3 TURIN,249.0,JAC,J3 TURIN,JAC J3 Turin,249.0,JAC,J3 Turin,0.0,igual
2014-01,JAC,J5,59.0,JAC,J5,JAC J5,59.0,JAC,J5,0.0,igual
2014-01,JAC,J6,99.0,JAC,J6,JAC J6,99.0,JAC,J6,0.0,igual
2014-01,JAC,T140,24.0,JAC,T140,JAC T140,24.0,JAC,T140,0.0,igual
2014-01,JAC,T8,23.0,JAC,T8,JAC T8,23.0,JAC,T8,0.0,igual
2014-01,JAGUAR,XF,29.0,JAGUAR,XF,Jaguar XF,29.0,Jaguar,XF,0.0,igual
2014-01,JAGUAR,XJ,0.0,,,Jaguar XJ,3.0,Jaguar,XJ,-3.0,so_na_planilha
2014-01,JEEP,CHEROKEE,50.0,JEEP,CHEROKEE,Jeep Cherokee,10.0,Jeep,Cherokee,40.0,diverge
2014-01,JEEP,COMPASS,51.0,JEEP,COMPASS,Jeep Compass,51.0,Jeep,Compass,0.0,igual
2014-01,JEEP,GRAND CHEROKEE,0.0,,,Jeep Grand Cherokee,40.0,Jeep,Grand Cherokee,-40.0,so_na_planilha
2014-01,JEEP,WRANGLER,0.0,,,Jeep Wrangler,18.0,Jeep,Wrangler,-18.0,so_na_planilha
2014-01,JINBEI,M35,19.0,JINBEI,M35,,0.0,,,19.0,so_no_painel
2014-01,JINBEI,TOPIC,59.0,JINBEI,TOPIC,,0.0,,,59.0,so_no_painel
2014-01,JINBEI,TOPIC PASSAGEIRO,0.0,,,Jinbei Topic Passageiro,59.0,Jinbei,Topic Passageiro,-59.0,so_na_planilha
2014-01,KIA,BONGO,0.0,,,Kia Bongo,270.0,Kia,Bongo,-270.0,so_na_planilha
2014-01,KIA,CADENZA,0.0,,,Kia Cadenza,5.0,Kia,Cadenza,-5.0,so_na_planilha
2014-01,KIA,CARNIVAL,21.0,KIA,CARNIVAL,,0.0,,,21.0,so_no_painel
2014-01,KIA,CERATO,656.0,KIA,CERATO,Kia Cerato,656.0,Kia,Cerato,0.0,igual
2014-01,KIA,GRAND CARNIVAL,0.0,,,Kia Grand Carnival,21.0,Kia,Grand Carnival,-21.0,so_na_planilha
2014-01,KIA,K2500,270.0,KIA,K2500,,0.0,,,270.0,so_no_painel
2014-01,KIA,MOHAVE,0.0,,,Kia Mohave,8.0,Kia,Mohave,-8.0,so_na_planilha
2014-01,KIA,OPTIMA,0.0,,,Kia Optima,14.0,Kia,Optima,-14.0,so_na_planilha
2014-01,KIA,PICANTO,277.0,KIA,PICANTO,Kia Picanto,277.0,Kia,Picanto,0.0,igual
2014-01,KIA,SORENTO,182.0,KIA,SORENTO,Kia Sorento,182.0,Kia,Sorento,0.0,igual
2014-01,KIA,SOUL,74.0,KIA,SOUL,Kia Soul,74.0,Kia,Soul,0.0,igual
2014-01,KIA,SPORTAGE,853.0,KIA,SPORTAGE,Kia Sportage,853.0,Kia,Sportage,0.0,igual
2014-01,LAND ROVER,DEFENDER,0.0,,,Land Rover Defender,2.0,Land Rover,Defender,-2.0,so_na_planilha
2014-01,LAND ROVER,DISCOVERY,71.0,LAND ROVER,DISCOVERY,Land Rover Discovery,71.0,Land Rover,Discovery,0.0,igual
2014-01,LAND ROVER,EVOQUE,610.0,LAND ROVER,EVOQUE,,0.0,,,610.0,so_no_painel
2014-01,LAND ROVER,FREELANDER,57.0,LAND ROVER,FREELANDER,Land Rover Freelander,57.0,Land Rover,Freelander,0.0,igual
2014-01,LAND ROVER,RANGE ROVER,75.0,LAND ROVER,RANGE ROVER,Land Rover Range Rover,25.0,Land Rover,Range Rover,50.0,diverge
2014-01,LAND ROVER,RANGE ROVER EVOQUE,0.0,,,Land Rover Range Rover Evoque,610.0,Land Rover,Range Rover Evoque,-610.0,so_na_planilha
2014-01,LAND ROVER,RANGE ROVER SPORT,0.0,,,Land Rover Range Rover Sport,50.0,Land Rover,Range Rover Sport,-50.0,so_na_planilha
2014-01,LEXUS,ES,0.0,,,Lexus ES,5.0,Lexus,ES,-5.0,so_na_planilha
2014-01,LEXUS,RX,0.0,,,Lexus RX,6.0,Lexus,RX,-6.0,so_na_planilha
2014-01,LIFAN,320,0.0,,,Lifan 320,8.0,Lifan,320,-8.0,so_na_planilha
2014-01,LIFAN,620,0.0,,,Lifan 620,2.0,Lifan,620,-2.0,so_na_planilha
2014-01,LIFAN,X60,363.0,LIFAN,X60,Lifan X60,363.0,Lifan,X60,0.0,igual
2014-01,M BENZ,A 200,183.0,M.BENZ,A 200,,0.0,,,183.0,so_no_painel
2014-01,M BENZ,C180,464.0,M.BENZ,C180,,0.0,,,464.0,so_no_painel
2014-01,M BENZ,CLA,0.0,,,Mercedes-Benz CLA,119.0,M.BENZ,CLA,-119.0,so_na_planilha
2014-01,M BENZ,CLA200,119.0,M.BENZ,CLA200,,0.0,,,119.0,so_no_painel
2014-01,M BENZ,CLASSE A,0.0,,,Mercedes-Benz Classe A,183.0,M.BENZ,Classe A,-183.0,so_na_planilha
2014-01,M BENZ,CLASSE B,42.0,M.BENZ,CLASSE B,Mercedes-Benz Classe B,42.0,M.BENZ,Classe B,0.0,igual
2014-01,M BENZ,CLASSE C,61.0,M.BENZ,CLASSE C,Mercedes-Benz Classe C,541.0,M.BENZ,Classe C,-480.0,diverge
2014-01,M BENZ,CLASSE E,30.0,M.BENZ,CLASSE E,Mercedes-Benz Classe E,31.0,M.BENZ,Classe E,-1.0,diverge
2014-01,M BENZ,CLASSE G,0.0,,,Mercedes-Benz Classe G,4.0,M.BENZ,Classe G,-4.0,so_na_planilha
2014-01,M BENZ,CLASSE M,71.0,M.BENZ,CLASSE M,,0.0,,,71.0,so_no_painel
2014-01,M BENZ,CLASSE S,0.0,,,Mercedes-Benz Classe S,3.0,M.BENZ,Classe S,-3.0,so_na_planilha
2014-01,M BENZ,CLS,0.0,,,Mercedes-Benz CLS,9.0,M.BENZ,CLS,-9.0,so_na_planilha
2014-01,M BENZ,GLC,0.0,,,Mercedes-Benz GLC,40.0,M.BENZ,GLC,-40.0,so_na_planilha
2014-01,M BENZ,GLE,0.0,,,Mercedes-Benz GLE,71.0,M.BENZ,GLE,-71.0,so_na_planilha
2014-01,M BENZ,GLS,0.0,,,Mercedes-Benz GLS,5.0,M.BENZ,GLS,-5.0,so_na_planilha
2014-01,M BENZ,SLC,0.0,,,Mercedes-Benz SLC,32.0,M.BENZ,SLC,-32.0,so_na_planilha
2014-01,M BENZ,SLK,32.0,M.BENZ,SLK,,0.0,,,32.0,so_no_painel
2014-01,M BENZ,SLS AMG,0.0,,,Mercedes-Benz SLS AMG,1.0,M.BENZ,SLS AMG,-1.0,so_na_planilha
2014-01,M BENZ,SPRINTER,104.0,M.BENZ,SPRINTER,Mercedes-Benz Sprinter,288.0,M.BENZ,Sprinter,-184.0,diverge
2014-01,M BENZ,SPRINTER 311,183.0,M.BENZ,SPRINTER 311,,0.0,,,183.0,so_no_painel
2014-01,MAHINDRA,HWKCD4,19.0,MAHINDRA,HWKCD4,,0.0,,,19.0,so_no_painel
2014-01,MAHINDRA,HWKCS34,19.0,MAHINDRA,HWKCS34,,0.0,,,19.0,so_no_painel
2014-01,MAHINDRA,JIPE,0.0,,,Mahindra Jipe,19.0,Mahindra,Jipe,-19.0,so_na_planilha
2014-01,MAHINDRA,PIK UP,0.0,,,Mahindra Pik Up,19.0,Mahindra,Pik Up,-19.0,so_na_planilha
2014-01,MASERATI,GRAN TURISMO,0.0,,,Maserati Gran Turismo,1.0,Maserati,Gran Turismo,-1.0,so_na_planilha
2014-01,MINI,CABRIO,0.0,,,Mini Cabrio,13.0,Mini,Cabrio,-13.0,so_na_planilha
2014-01,MINI,COUNTRYMAN,0.0,,,Mini Countryman,40.0,Mini,Countryman,-40.0,so_na_planilha
2014-01,MINI,COUPE,0.0,,,Mini Coupé,6.0,Mini,Coupé,-6.0,so_na_planilha
2014-01,MINI,HATCH 3 PORTAS,0.0,,,Mini Hatch 3 portas,80.0,Mini,Hatch 3 portas,-80.0,so_na_planilha
2014-01,MINI,PACEMAN,0.0,,,Mini Paceman,17.0,Mini,Paceman,-17.0,so_na_planilha
2014-01,MINI,ROADSTER,0.0,,,Mini Roadster,11.0,Mini,Roadster,-11.0,so_na_planilha
2014-01,MITSUBISHI,ASX,1078.0,MITSUBISHI,ASX,Mitsubishi ASX,1079.0,Mitsubishi,ASX,-1.0,diverge
2014-01,MITSUBISHI,L200,1742.0,MITSUBISHI,L200,,0.0,,,1742.0,so_no_painel
2014-01,MITSUBISHI,L200 TRITON,0.0,,,Mitsubishi L200 Triton,1742.0,Mitsubishi,L200 Triton,-1742.0,so_na_planilha
2014-01,MITSUBISHI,LANCER,374.0,MITSUBISHI,LANCER,Mitsubishi Lancer,377.0,Mitsubishi,Lancer,-3.0,diverge
2014-01,MITSUBISHI,OUTLANDER,628.0,MITSUBISHI,OUTLANDER,Mitsubishi Outlander,628.0,Mitsubishi,Outlander,0.0,igual
2014-01,MITSUBISHI,PAJERO,1305.0,MITSUBISHI,PAJERO,,0.0,,,1305.0,so_no_painel
2014-01,MITSUBISHI,PAJERO FULL,0.0,,,Mitsubishi Pajero Full,305.0,Mitsubishi,Pajero Full,-305.0,so_na_planilha
2014-01,MITSUBISHI,PAJERO HPE,0.0,,,Mitsubishi Pajero HPE,400.0,Mitsubishi,Pajero HPE,-400.0,so_na_planilha
